id;total_po_amount;total_gst_amount;expected_delivery_date;po_date;order_type;order_status;client_name;client_mobile;client_email;terms_and_condition;notes;last_modified;last_modified_by;free_field_1;free_field_2
1;83708;24652;2022-03-10T16:25:15;2022-03-10T21:04:54;PURCHASE_ORDER;APPROVED;Optional;intermediate Licensed withdrawal;Kwanza Gloves;salmon Versatile Alley;Shoes RSS;cross-platform Plastic;transmit Pierre;digital Human Lake;JBOD mobile
2;19195;16916;2022-03-10T10:27:52;2022-03-10T18:22:31;PRODUCT_QUATATION;REQUESTED;clear-thinking;Integration;Multi-channelled Shoes Paradigm;RAM;application Granite implementation;Gloves Dynamic Fantastic;hard navigating;User-centric Pizza;Legacy architect
3;26302;82633;2022-03-10T10:49:31;2022-03-10T22:34:19;PRODUCT_QUATATION;CANCELED;Pakistan override;clicks-and-mortar Refined digital;Salad District;Avon;Dollar Cambridgeshire Data;indexing holistic hierarchy;compelling primary Sausages;transmitting generate copy;Pants
4;4918;17409;2022-03-10T12:46:22;2022-03-10T12:48:57;PURCHASE_ORDER;RECEIVED;Texas;SSL Credit transmit;Re-contextualized Refined Pizza;Reactive Somalia Crest;Handmade Mountains;mindshare;Beauty needs-based Implementation;cohesive;cross-platform Islands
5;18756;53327;2022-03-11T02:16:17;2022-03-10T12:11:05;PURCHASE_ORDER;REQUESTED;blue;Functionality cyan Viaduct;Fresh Savings Colorado;navigating Right-sized;interactive;microchip black ubiquitous;Communications;Computer technologies Keyboard;Frozen Internal Michigan
6;1410;20051;2022-03-10T10:13:41;2022-03-11T00:03:23;PURCHASE_ORDER;APPROVED;Forward Checking XML;calculate viral;solutions wireless Web;payment Wooden Arkansas;SMTP Berkshire cross-platform;Cambridgeshire;Frozen;matrix Georgia Nebraska;withdrawal
7;18745;89252;2022-03-10T08:49:44;2022-03-10T08:16:24;PURCHASE_ORDER;COMPLETED;evolve;New invoice Principal;magenta;AI array vertical;Gorgeous;Table strategy;Buckinghamshire overriding Towels;hacking withdrawal;transmitting Verde
8;12780;98892;2022-03-10T19:41:43;2022-03-10T21:26:13;PURCHASE_ORDER;COMPLETED;Regional Licensed;Towels drive content-based;Toys;Account Human Account;withdrawal Cambridgeshire;Saudi Concrete;Massachusetts uniform Streamlined;Industrial;bus Usability Ranch
9;34162;50636;2022-03-10T20:31:28;2022-03-10T12:29:04;PRODUCT_QUATATION;REQUESTED;Administrator Borders holistic;Home;pink services;Account infrastructures;Exclusive;mesh;Representative;Field array indexing;User-friendly Identity Chief
10;21072;49299;2022-03-10T22:10:35;2022-03-10T19:41:55;PURCHASE_ORDER;RECEIVED;Pre-emptive deposit;Direct;Cloned;HTTP embrace;Towels Plastic;CSS;Afghanistan Progressive;redundant;e-business
